path,main_contract_name,solc_version,trans_count
/home/yy/Dataset/mainnet/6c/6c5607c25121c8a1070311c85ae5f474b0d5f642_BENZCoin.sol,BENZCoin,v0.4.26,9
/home/yy/Dataset/mainnet/5c/5c8118fc0237697422ced89a448dce2c8e34b4ef_LTHToken.sol,LTHToken,v0.4.26,34286
/home/yy/Dataset/mainnet/53/53a30b07bea5b8e9b5f710e038867a1531b0b5dc_Multiplexer.sol,Multiplexer,v0.4.26,18
/home/yy/Dataset/mainnet/bc/bc145bc6bfc6af7370bba5baf6a70dcf4789a3c6_MyEtherCityGame.sol,MyEtherCityGame,v0.4.26,1171
/home/yy/Dataset/mainnet/9d/9d9bcdd249e439aaab545f59a33812e39a8e3072_Auctions.sol,Auctions,v0.4.26,6004
/home/yy/Dataset/mainnet/cf/cfbc7403b692a437eec6b691fff48c8d75995672_GGG.sol,GGG,v0.4.26,20
/home/yy/Dataset/mainnet/72/729d11fd8ee835a165a6824362bebac8a7831aea_Artcoin.sol,Artcoin,v0.4.26,278
/home/yy/Dataset/mainnet/d2/d247544a77b1cffa6e9d7cf2b800488ca12c8234_Crowdfunding.sol,Crowdfunding,v0.4.26,7
/home/yy/Dataset/mainnet/6f/6f5136e852ef12c275038561766d5e58495fb16f_Bitcash.sol,Bitcash,v0.4.26,6165
/home/yy/Dataset/mainnet/1d/1d6aa0045a56f05f8c5d81defd5f641bc321552e_FRACupExchange.sol,FRACupExchange,v0.4.26,13
/home/yy/Dataset/mainnet/63/631b905bca1114ab736e270c1f02a0555130cc5e_Migrations.sol,Migrations,v0.4.26,14
/home/yy/Dataset/mainnet/b8/b8f1437c742dc042af73d5bd18c8fc985ec8e3b4_CryptoHuntIco.sol,CryptoHuntIco,v0.4.26,516
/home/yy/Dataset/mainnet/45/45303f96d6aE172E549fa04311802FF6Bd03b21e_TokenVesting.sol,TokenVesting,v0.4.26,149
/home/yy/Dataset/mainnet/ec/ec9a75a532311b6102d91d439e1db055dc9414d9_PD88.sol,PD88,v0.4.26,14
/home/yy/Dataset/mainnet/cc/ccb93ec355abb2857e7baed53aeb4c8e98fb6dca_AUPToken.sol,AUPToken,v0.4.26,46
/home/yy/Dataset/mainnet/84/84bcc3c733ac77d17fadc3877b0a8352f179e57e_CustomToken.sol,CustomToken,v0.4.26,10
/home/yy/Dataset/mainnet/4b/4b7b633c44fe54cc2c58378e98aaa301ef8522b8_DragonLifeChain.sol,DragonLifeChain,v0.4.26,9
/home/yy/Dataset/mainnet/51/51f4fcf219d79855341f749c0f1008c6066a2f1f_EQU.sol,EQU,v0.4.26,21
/home/yy/Dataset/mainnet/70/702392282255f8c0993dbbbb148d80d2ef6795b1_PoWTF.sol,PoWTF,v0.4.26,4202
/home/yy/Dataset/mainnet/73/73393ffcc698ccdbfe4ece51cf0e1aad12724490_STBToken.sol,STBToken,v0.4.26,19
/home/yy/Dataset/mainnet/af/AFC5f2e73a767A18C29df0412d4E79eE8B759572_Duranium.sol,Duranium,v0.4.26,87
/home/yy/Dataset/mainnet/5a/5a367fdaaad8a7e910306ecc90a6f9952793ff08_ARDACoin.sol,ARDACoin,v0.4.26,8
/home/yy/Dataset/mainnet/70/70c621f949b6556c4545707a2d5d73a776b98359_SkychainToken.sol,SkychainToken,v0.4.26,2222
/home/yy/Dataset/mainnet/3e/3e9ba4be6affa324f188b10962317239e32ce7ad_SynthestechToken.sol,SynthestechToken,v0.4.26,661
/home/yy/Dataset/mainnet/2b/2b8a41a9184c570cdf2555acb67334e383bc7add_NightWolve.sol,NightWolve,v0.4.26,12
/home/yy/Dataset/mainnet/97/973d10ffcb71ff18713bab0ff26cd1ebb6a11d62_AK48Coin.sol,AK48Coin,v0.4.26,7
/home/yy/Dataset/mainnet/fb/fb8bf095ebcdad57d2e37573a505e7d3bafdd3cc_DPNToken.sol,DPNToken,v0.4.26,30042
/home/yy/Dataset/mainnet/47/47a350bb713542cb629bd4c759d54e2572978562_MyAdvancedToken.sol,MyAdvancedToken,v0.4.26,25
/home/yy/Dataset/mainnet/88/88bcdea8132bc4f3f01c39e57f38ccf54f6691e7_SumToken.sol,SumToken,v0.4.26,10
/home/yy/Dataset/mainnet/f1/f165c0df0b759e93E6166aeCB667c7EC2a300525_TokenICOGAT.sol,TokenICOGAT,v0.4.26,6
/home/yy/Dataset/mainnet/a1/a1d2eff5a390c7cee2e826fb244dab2600f4dc65_XCoinToken.sol,XCoinToken,v0.4.26,10
/home/yy/Dataset/mainnet/b0/b0a4003e2c17813ceef229a2d4b635c92c2a73da_ALTnextCoin.sol,ALTnextCoin,v0.4.26,12
/home/yy/Dataset/mainnet/c9/c9a0c19fcdc9eac6ad197eb379e7b5117e4bd75c_SmartContractWorkshop.sol,SmartContractWorkshop,v0.4.26,21
/home/yy/Dataset/mainnet/db/dbbd9e60fb406521c3c7da7172e46dedf8d238cb_Minewar.sol,Minewar,v0.4.26,2395
/home/yy/Dataset/mainnet/a9/a965fb4db32d8600edcd5cc102a43e798bc3f08f_GPUMining.sol,GPUMining,v0.4.26,339
/home/yy/Dataset/mainnet/07/0744a686c17480b457a4fbb743195bf2815ca2b8_EasyInvest10.sol,EasyInvest10,v0.4.26,8
/home/yy/Dataset/mainnet/8f/8f2c72056b3fef90d07aa7db86dccfc0af3270a8_EMT.sol,EMT,v0.4.26,5758
/home/yy/Dataset/mainnet/2f/2F50AB197F950e0c2184CF5d804f4141502Cd987_Cajutel.sol,Cajutel,v0.4.26,982
/home/yy/Dataset/mainnet/92/926be13b4d93f29ea254e4e518f33099e45d7f06_POCCToken.sol,POCCToken,v0.4.26,16
/home/yy/Dataset/mainnet/56/56ce91f6e11d6319275f3a4abd2eb2b3df853fdd_FlixToken.sol,FlixToken,v0.4.26,573
/home/yy/Dataset/mainnet/65/6547df8b3b4d1b1d04128872e1411ea25ab188bd_TRAVELUS.sol,TRAVELUS,v0.4.26,129
/home/yy/Dataset/mainnet/7e/7e04a8c9b52f3698b3d4f660254b06ff904b48ae_UZEEToken.sol,UZEEToken,v0.4.26,17
/home/yy/Dataset/mainnet/18/18d70bd7bdfa7e424271fe25b527ee0250db5c90_ICOBuyer.sol,ICOBuyer,v0.4.26,27
/home/yy/Dataset/mainnet/18/18d70bd7bdfa7e424271fe25b527ee0250db5c90_ICOBuyer.sol,ICOBuyer,v0.4.26,27
/home/yy/Dataset/mainnet/18/18d70bd7bdfa7e424271fe25b527ee0250db5c90_ICOBuyer.sol,ICOBuyer,v0.4.26,27
/home/yy/Dataset/mainnet/3c/3c02dac293ec087ef59ee4de0f50354b0b062dd3_TruthStaking.sol,TruthStaking,v0.4.26,56
/home/yy/Dataset/mainnet/49/49fb8ab3fed4003c8c5805496cbc3a19760e67b1_NFT.sol,NFT,v0.4.26,4307
/home/yy/Dataset/mainnet/93/9329020B260A7e09A6271e0b719A2FE4bD96fA03_VenusCoin.sol,VenusCoin,v0.4.26,11
/home/yy/Dataset/mainnet/17/17e16d30a05324b44cf78df847137fa1220448f8_CyberChainToken.sol,CyberChainToken,v0.4.26,1483
/home/yy/Dataset/mainnet/89/895b47ba4a24bbeaae7aa0ea88240c79c5efff72_BCaaS.sol,BCaaS,v0.4.26,8
/home/yy/Dataset/mainnet/92/9285bd3d0984d2e9c8a675d5b94b234c34f8c8f0_IcoData.sol,IcoData,v0.4.26,7
/home/yy/Dataset/mainnet/94/94eea9a484f0bae03d19623cfe389e2cba56b72f_NZOCrowdsale.sol,NZOCrowdsale,v0.4.26,14
/home/yy/Dataset/mainnet/1e/1ebd04228ae2900ccad55193233492ddc3b09de9_Sales.sol,Sales,v0.4.26,14
/home/yy/Dataset/mainnet/69/6917d70f5622da6b4e88681892444ffdd552df5f_McFlyToken.sol,McFlyToken,v0.4.26,115
/home/yy/Dataset/mainnet/fe/feef9634b1a51e766fb6bda0c2448338d804045a_KBItoken.sol,KBItoken,v0.4.26,153
/home/yy/Dataset/mainnet/bf/bfaacfdecfbbcc7ea8c17e19c8f4f84c523267de_NokuConsumptionPlan.sol,NokuConsumptionPlan,v0.4.26,11
/home/yy/Dataset/mainnet/32/325c96fa60eeb3a9f88bab75278b5ff18398c919_InvestorWhiteList.sol,InvestorWhiteList,v0.4.26,6
/home/yy/Dataset/mainnet/d7/d7404b6b59d9e1ff9a70bec66b4c332f9f8ef7ed_AKQA.sol,AKQA,v0.4.26,7
